country_name,country_code,series_name,series_code,variable_name,education_level,gender,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014
Austria,AUT,"Labor force, total",SL.TLF.TOTL.IN.V,Labor force,All,All,3864115,3895995,3969669,4015070,3992497,4071442,4150596,4240397,4275599,4314617,4314610,4351706,4392277,4429888,4466361
Austria,AUT,"Labor force, female",SL.TLF.TOTL.FE.ZS.V,Labor force,All,Female,1674190,1701308,1750595,1782194,1792340,1837135,1882442,1918962,1952316,1987600,1987770,2002013,2028432,2038128,2054749
Austria,AUT,"Labor force, male",SL.TLF.TOTL.MA.ZS.V,Labor force,All,Male,2189925,2194687,2219074,2232876,2200157,2234307,2268154,2321435,2323283,2327017,2326840,2349693,2363845,2391760,2411612
Austria,AUT,Labor force with primary education,SL.TLF.PRIM.ZS.V,Labor force,Primary,All,811464,775303,778055,770893,714657,728788,726354,775993,731127,707597,681708,691921,667626,651194,656555
Austria,AUT,"Labor force with primary education, female",SL.TLF.PRIM.FE.ZS.V,Labor force,Primary,Female,415199,398106,400886,409905,362053,365590,378371,408739,380702,369694,349848,348350,340777,328139,339034
Austria,AUT,"Labor force with primary education, male",SL.TLF.PRIM.MA.ZS.V,Labor force,Primary,Male,394187,375291,372804,359493,354225,361958,347028,366787,348492,337417,330411,343055,323847,320496,313510
Austria,AUT,Labor force with secondary education,SL.TLF.SECO.ZS.V,Labor force,Secondary,All,2465305,2512917,2492952,2553584,2515273,2601652,2685435,2718094,2783415,2791557,2813126,2824257,2850588,2857278,2402902
Austria,AUT,"Labor force with secondary education, female",SL.TLF.SECO.FE.ZS.V,Labor force,Secondary,Female,1032975,1065019,1039853,1067534,1138136,1164744,1202880,1212784,1259244,1270076,1288075,1297304,1306310,1302364,1062305
Austria,AUT,"Labor force with secondary education, male",SL.TLF.SECO.MA.ZS.V,Labor force,Secondary,Male,1434401,1448493,1455713,1489328,1377298,1436659,1483373,1508933,1524074,1521869,1524080,1527300,1545955,1557036,1340856
Austria,AUT,Labor force with tertiary education,SL.TLF.TERT.ZS.V,Labor force,Tertiary,All,587345,603879,698662,690592,762567,741002,738806,742069,761057,815463,824091,835528,874063,921417,1411370
Austria,AUT,"Labor force with tertiary education, female",SL.TLF.TERT.FE.ZS.V,Labor force,Tertiary,Female,226016,238183,309855,304755,293944,306802,301191,297439,312371,345842,349848,356358,381345,407626,653410
Austria,AUT,"Labor force with tertiary education, male",SL.TLF.TERT.MA.ZS.V,Labor force,Tertiary,Male,361338,368707,390557,384055,468633,433456,437754,445716,448394,467730,472349,481687,494044,514228,754835
Austria,AUT,"Unemployment, total",SL.UEM.TOTL.NE.ZS.V,Unemployment,All,All,181613,155840,190544,192723,231565,228001,215831,207779,175300,228675,207101,200178,215222,234784,250116
Austria,AUT,"Unemployment, female",SL.UEM.TOTL.FE.NE.ZS.V,Unemployment,All,Female,77013,69754,78777,76634,105748,108391,105417,101705,85902,101368,91437,92093,97365,108021,110956
Austria,AUT,"Unemployment, male",SL.UEM.TOTL.MA.NE.ZS.V,Unemployment,All,Male,105116,85593,113173,113877,127609,120653,111140,104465,90608,127986,116342,105736,115828,129155,139874
Austria,AUT,Unemployment with primary education,SL.UEM.PRIM.ZS.V,Unemployment,Primary,All,65381,53765,61546,67453,81279,80028,75325,75008,63108,78207,64823,65659,67795,69966,74285
Austria,AUT,"Unemployment with primary education, female",SL.UEM.PRIM.FE.ZS.V,Unemployment,Primary,Female,30189,26576,28360,30117,41453,38479,37107,38444,33158,36492,28986,30298,30962,32406,33953
Austria,AUT,"Unemployment with primary education, male",SL.UEM.PRIM.MA.ZS.V,Unemployment,Primary,Male,35319,26962,33499,36554,40452,41866,38565,36040,30354,41979,36066,34681,36254,38230,40563
Austria,AUT,Unemployment with secondary education,SL.UEM.SECO.ZS.V,Unemployment,Secondary,All,102975,90699,116804,108503,125508,125856,119355,112409,97992,129201,121568,112500,126550,133357,120306
Austria,AUT,"Unemployment with secondary education, female",SL.UEM.SECO.FE.ZS.V,Unemployment,Secondary,Female,41202,37667,44745,39390,54672,59723,57452,53192,46043,53522,52577,50467,55595,58655,49708
Austria,AUT,"Unemployment with secondary education, male",SL.UEM.SECO.MA.ZS.V,Unemployment,Secondary,Male,62124,52811,73223,67984,71844,66600,62349,58291,52734,76152,69340,60693,69613,76201,71056
Austria,AUT,Unemployment with tertiary education,SL.UEM.TERT.ZS.V,Unemployment,Tertiary,All,13258,11376,12195,16381,24777,22116,21151,20362,14199,21038,20710,21819,20876,31461,55276
Austria,AUT,"Unemployment with tertiary education, female",SL.UEM.TERT.FE.ZS.V,Unemployment,Tertiary,Female,5622,5580,5751,7127,9623,10189,10858,10069,6700,11353,9875,11327,10710,17067,27406
Austria,AUT,"Unemployment with tertiary education, male",SL.UEM.TERT.MA.ZS.V,Unemployment,Tertiary,Male,7568,5820,6564,9110,15441,12065,10225,10133,7520,9855,10936,10362,9961,14724,28254
Belgium,BEL,"Employment, total",SL.EM.TOTL.NE.ZS.V,Employment,All,All,4120402,4048033,4070440,4064337,4132889,4237066,4260367,4376604,4438548,4408911,4481555,4524988,4537350,4539674,4552361
Belgium,BEL,"Employment, female",SL.EM.TOTL.FE.NE.ZS.V,Employment,All,Female,1743173,1700881,1731209,1752129,1817302,1847634,1872654,1939507,1985782,1991654,2031077,2051548,2064566,2080826,2097951
Belgium,BEL,"Employment, male",SL.EM.TOTL.MA.NE.ZS.V,Employment,All,Male,2377551,2349295,2350979,2321291,2369733,2387646,2385612,2438953,2452988,2418162,2451374,2471229,2469662,2458003,2454590
Belgium,BEL,Employment with primary education,SL.EM.PRIM.ZS.V,Employment,Primary,All,2056081,1874239,2112559,2271964,2273089,2754093,2777760,2892935,2933880,3024513,2984716,2945767,3085398,3091518,2863435
Belgium,BEL,"Employment with primary education, female",SL.EM.PRIM.FE.ZS.V,Employment,Primary,Female,943057,920177,950434,1074055,1064939,1228677,1288386,1332442,1378133,1435983,1423785,1434032,1498875,1510680,1437097
Belgium,BEL,"Employment with primary education, male",SL.EM.PRIM.MA.ZS.V,Employment,Primary,Male,1069898,920924,1151980,1195465,1220412,1518543,1469537,1548735,1542930,1583896,1559074,1507450,1590462,1582954,1440845
Belgium,BEL,Employment with secondary education,SL.EM.SECO.ZS.V,Employment,Secondary,All,2595853,2845767,2633575,2454859,2574790,2571899,2632907,2625963,2645374,2588031,2783046,2823593,2704260,2769201,2722312
Belgium,BEL,"Employment with secondary education, female",SL.EM.SECO.FE.ZS.V,Employment,Secondary,Female,1040674,1097068,1088931,977688,1075843,1084561,1114229,1107459,1112038,1141218,1202397,1212465,1170609,1252657,1250379
Belgium,BEL,"Employment with secondary education, male",SL.EM.SECO.MA.ZS.V,Employment,Secondary,Male,1588204,1776067,1563401,1487948,1545066,1499442,1529177,1534102,1542930,1448479,1581136,1608770,1531190,1514130,1470300
Belgium,BEL,Employment with tertiary education,SL.EM.TERT.ZS.V,Employment,Tertiary,All,3588870,3376059,3394747,3401850,3417900,3457446,3421075,3571309,3595224,3465404,3544910,3592841,3593581,3486470,3518975
Belgium,BEL,"Employment with tertiary education, female",SL.EM.TERT.FE.ZS.V,Employment,Tertiary,Female,2049449,1912326,1932505,1924350,1945551,1929218,1865549,1975552,1959938,1828131,1860593,1890490,1874473,1752556,1762396
Belgium,BEL,"Employment with tertiary education, male",SL.EM.TERT.MA.ZS.V,Employment,Tertiary,Male,1537479,1449151,1462872,1478796,1513813,1522451,1543067,1594275,1630327,1617223,1665483,1678166,1692944,1691712,1707732
Belgium,BEL,"Labor force, total",SL.TLF.TOTL.IN.V,Labor force,All,All,4411565,4315600,4400476,4432210,4516819,4625618,4640923,4731464,4772632,4787091,4887192,4870816,4905243,4955976,4975258
Belgium,BEL,"Labor force, female",SL.TLF.TOTL.FE.ZS.V,Labor force,All,Female,1900952,1826940,1894102,1925416,1979632,2041585,2064668,2117366,2149115,2167197,2219756,2210720,2229553,2266695,2277906
Belgium,BEL,"Labor force, male",SL.TLF.TOTL.MA.ZS.V,Labor force,All,Male,2510613,2488660,2506374,2506794,2537187,2584033,2576255,2614098,2623517,2619894,2667436,2660096,2675690,2689281,2697352
Belgium,BEL,Labor force with primary education,SL.TLF.PRIM.ZS.V,Labor force,Primary,All,1420524,1320574,1306941,1289773,1246642,1059267,1039567,1012533,973617,928696,972551,920584,897659,882164,970175
Belgium,BEL,"Labor force with primary education, female",SL.TLF.PRIM.FE.ZS.V,Labor force,Primary,Female,513257,478658,475420,475578,475112,398109,392287,395947,378244,355420,372919,347083,334433,335471,366743
Belgium,BEL,"Labor force with primary education, male",SL.TLF.PRIM.MA.ZS.V,Labor force,Primary,Male,906331,843656,832116,812201,773842,658928,649216,619541,595538,573757,597506,574581,561895,548613,606904
Belgium,BEL,Labor force with secondary education,SL.TLF.SECO.ZS.V,Labor force,Secondary,All,1583752,1575194,1641378,1688672,1702841,1803991,1800678,1859465,1942461,1938772,1891343,1933714,1927760,1982390,1940351
Belgium,BEL,"Labor force with secondary education, female",SL.TLF.SECO.FE.ZS.V,Labor force,Secondary,Female,693847,657698,697030,735509,730484,775802,776315,791895,836006,838705,816870,837863,829394,861344,829158
Belgium,BEL,"Labor force with secondary education, male",SL.TLF.SECO.MA.ZS.V,Labor force,Secondary,Male,891268,915827,942397,952582,971743,1025861,1022773,1066552,1104501,1100355,1074977,1093299,1097033,1124119,1111309
Belgium,BEL,Labor force with tertiary education,SL.TLF.TERT.ZS.V,Labor force,Tertiary,All,1407289,1419832,1452157,1453765,1567336,1632843,1675373,1722253,1742011,1804733,1901118,1894747,1952287,1972478,2064732
Belgium,BEL,"Labor force with tertiary education, female",SL.TLF.TERT.FE.ZS.V,Labor force,Tertiary,Female,693847,690583,721653,712404,774036,818676,846514,878707,889734,929728,983352,979349,1018906,1029080,1082005
Belgium,BEL,"Labor force with tertiary education, male",SL.TLF.TERT.MA.ZS.V,Labor force,Tertiary,Male,713014,729177,731861,742011,791602,813970,829554,846968,852643,877664,917598,912413,933816,941248,979139
Belgium,BEL,"Unemployment, total",SL.UEM.TOTL.NE.ZS.V,Unemployment,All,All,291163,267567,330036,367873,383930,388552,380556,354860,334084,378180,405637,345828,367893,416302,422897
Belgium,BEL,"Unemployment, female",SL.UEM.TOTL.FE.NE.ZS.V,Unemployment,All,Female,157779,126059,162893,173287,162330,193951,192014,177859,163333,175543,188679,159172,164987,185869,179955
Belgium,BEL,"Unemployment, male",SL.UEM.TOTL.MA.NE.ZS.V,Unemployment,All,Male,133062,139365,155395,185503,167454,196387,190643,175145,170529,201732,216062,188867,206028,231278,242762
Belgium,BEL,Unemployment with primary education,SL.UEM.PRIM.ZS.V,Unemployment,Primary,All,145873,143684,158747,162232,172768,135993,132433,120297,113255,118749,135483,120694,117726,132800,156895
Belgium,BEL,"Unemployment with primary education, female",SL.UEM.PRIM.FE.ZS.V,Unemployment,Primary,Female,72421,57861,73465,67062,67205,64973,59908,55670,49980,48976,56415,47911,45206,50928,56686
Belgium,BEL,"Unemployment with primary education, male",SL.UEM.PRIM.MA.ZS.V,Unemployment,Primary,Male,73184,84734,79252,89969,81215,71485,73207,63928,63266,69597,78647,73658,73346,82335,100261
Belgium,BEL,Unemployment with secondary education,SL.UEM.SECO.ZS.V,Unemployment,Secondary,All,107730,79467,116503,145678,144741,152701,145372,141944,134970,156188,153736,130031,148629,162358,170005
Belgium,BEL,"Unemployment with secondary education, female",SL.UEM.SECO.FE.ZS.V,Unemployment,Secondary,Female,63585,44751,60433,76593,66231,80102,77766,76301,71866,74957,76981,65101,71439,73976,72702
Belgium,BEL,"Unemployment with secondary education, male",SL.UEM.SECO.MA.ZS.V,Unemployment,Secondary,Male,44177,34005,52057,66595,58274,73056,68441,64979,63266,80894,76702,65915,78291,88811,97347
Belgium,BEL,Unemployment with tertiary education,SL.UEM.TERT.ZS.V,Unemployment,Tertiary,All,37560,44416,54786,59963,66420,71494,74969,65294,63476,80931,84778,71241,76522,96582,95998
Belgium,BEL,"Unemployment with tertiary education, female",SL.UEM.TERT.FE.ZS.V,Unemployment,Tertiary,Female,21774,23447,28995,29632,29057,37239,41859,33793,32830,42832,45472,37405,39762,53344,50747
Belgium,BEL,"Unemployment with tertiary education, male",SL.UEM.TERT.MA.ZS.V,Unemployment,Tertiary,Male,15701,20626,24086,28938,27965,34564,33553,31176,30525,37926,38891,34374,37085,43249,45154
Bulgaria,BGR,"Employment, total",SL.EM.TOTL.NE.ZS.V,Employment,All,All,2875198,2810290,2807307,2904869,3006109,3016065,3165322,3268313,3375981,3260921,3060866,2959381,2933285,2905101,2940051
Bulgaria,BGR,"Employment, female",SL.EM.TOTL.FE.NE.ZS.V,Employment,All,Female,1326884,1332840,1327721,1349317,1397049,1390975,1460044,1501468,1540155,1494435,1422507,1393253,1390964,1370065,1385825
Bulgaria,BGR,"Employment, male",SL.EM.TOTL.MA.NE.ZS.V,Employment,All,Male,1547197,1475234,1478095,1554267,1608039,1626091,1707923,1767929,1834497,1765889,1636505,1566860,1544288,1534303,1553748
Bulgaria,BGR,Employment with primary education,SL.EM.PRIM.ZS.V,Employment,Primary,All,1782623,1792965,1805098,1862021,1965995,1927266,1994153,2013281,2066100,2165251,2139545,2065648,2106099,2094578,1940434
Bulgaria,BGR,"Employment with primary education, female",SL.EM.PRIM.FE.ZS.V,Employment,Primary,Female,831956,885006,893557,912138,938817,919435,934428,906887,951816,1001271,1004290,961345,1002885,1019329,945133
Bulgaria,BGR,"Employment with primary education, male",SL.EM.PRIM.MA.ZS.V,Employment,Primary,Male,949979,911695,914941,951211,1025929,1009802,1060620,1108491,1111705,1163721,1135735,1103069,1104166,1080149,1000613
Bulgaria,BGR,Employment with secondary education,SL.EM.SECO.ZS.V,Employment,Secondary,All,1336967,1306785,1294168,1443720,1466981,1474856,1579496,1643961,1775766,1529372,1331477,1308047,1255446,1275339,1387704
Bulgaria,BGR,"Employment with secondary education, female",SL.EM.SECO.FE.ZS.V,Employment,Secondary,Female,632924,634432,625357,689501,716686,689924,753383,797280,847085,744228,658621,686874,664881,652151,681826
Bulgaria,BGR,"Employment with secondary education, male",SL.EM.SECO.MA.ZS.V,Employment,Secondary,Male,703975,672707,668099,753819,752562,785402,824927,839766,922752,785820,675877,636145,608449,630598,711616
Bulgaria,BGR,Employment with tertiary education,SL.EM.TERT.ZS.V,Employment,Tertiary,All,2633681,2520830,2515347,2567904,2663413,2705410,2826633,2987238,3035007,2908741,2721110,2607215,2563691,2498387,2551964
Bulgaria,BGR,"Employment with tertiary education, female",SL.EM.TERT.FE.ZS.V,Employment,Tertiary,Female,1386288,1270176,1265249,1299367,1352361,1413073,1475646,1584064,1586840,1508069,1389393,1308328,1277126,1239717,1283395
Bulgaria,BGR,"Employment with tertiary education, male",SL.EM.TERT.MA.ZS.V,Employment,Tertiary,Male,1236656,1234210,1233453,1246769,1290873,1281088,1343241,1399369,1433884,1380858,1308706,1273433,1260214,1231689,1244471
Bulgaria,BGR,"Labor force, total",SL.TLF.TOTL.IN.V,Labor force,All,All,3431024,3508477,3427725,3366013,3416033,3354911,3478376,3510540,3576251,3498842,3408537,3336394,3344681,3335363,3318342
Bulgaria,BGR,"Labor force, female",SL.TLF.TOTL.FE.ZS.V,Labor force,All,Female,1575872,1643453,1607411,1554513,1580372,1542101,1609751,1619707,1634984,1600037,1571831,1549781,1559377,1553362,1546680
Bulgaria,BGR,"Labor force, male",SL.TLF.TOTL.MA.ZS.V,Labor force,All,Male,1855152,1865024,1820314,1811500,1835661,1812810,1868625,1890833,1941267,1898805,1836706,1786613,1785304,1782001,1771662
Bulgaria,BGR,Labor force with primary education,SL.TLF.PRIM.ZS.V,Labor force,Primary,All,847463,761340,747244,693399,707119,647498,591324,554665,568624,542321,484012,447077,428119,416920,454613
Bulgaria,BGR,"Labor force with primary education, female",SL.TLF.PRIM.FE.ZS.V,Labor force,Primary,Female,343540,315543,310230,276703,292369,262157,243072,234858,233803,220805,199623,187524,179328,169316,182508
Bulgaria,BGR,"Labor force with primary education, male",SL.TLF.PRIM.MA.ZS.V,Labor force,Primary,Male,502746,447606,436875,418457,414859,387941,349433,321442,335839,322797,284689,259059,249943,247698,272836
Bulgaria,BGR,Labor force with secondary education,SL.TLF.SECO.ZS.V,Labor force,Secondary,All,1883632,1933171,1895532,1861405,1871986,1875395,2027893,2081750,2106412,2053820,2038305,2001836,2010153,1964529,1881500
Bulgaria,BGR,"Labor force with secondary education, female",SL.TLF.SECO.FE.ZS.V,Labor force,Secondary,Female,833636,856239,835854,811456,805990,798808,867656,882740,889431,862420,851932,838431,845182,821729,784167
Bulgaria,BGR,"Labor force with secondary education, male",SL.TLF.SECO.MA.ZS.V,Labor force,Secondary,Male,1050016,1076119,1059423,1050670,1066519,1076809,1162285,1200679,1219116,1194348,1190186,1164872,1165804,1142263,1094887
Bulgaria,BGR,Labor force with tertiary education,SL.TLF.TERT.ZS.V,Labor force,Tertiary,All,699929,813967,784949,787647,809600,808534,841767,853061,879758,885207,872585,874135,889685,937237,982229
Bulgaria,BGR,"Labor force with tertiary education, female",SL.TLF.TERT.FE.ZS.V,Labor force,Tertiary,Female,397120,471671,461327,457027,470951,470341,490974,494011,503575,510412,515561,519177,527069,552997,580005
Bulgaria,BGR,"Labor force with tertiary education, male",SL.TLF.TERT.MA.ZS.V,Labor force,Tertiary,Male,302390,341299,324016,327882,335926,335370,345696,357367,372723,372166,352648,353749,362417,384912,402167
Bulgaria,BGR,"Unemployment, total",SL.UEM.TOTL.NE.ZS.V,Unemployment,All,All,555826,698187,620418,461144,409924,338846,313054,242227,200270,237921,347671,377013,411396,430262,378291
Bulgaria,BGR,"Unemployment, female",SL.UEM.TOTL.FE.NE.ZS.V,Unemployment,All,Female,248988,310613,279690,205196,183323,151126,149707,118239,94829,105602,149324,156528,168413,183297,160855
Bulgaria,BGR,"Unemployment, male",SL.UEM.TOTL.MA.NE.ZS.V,Unemployment,All,Male,307955,389790,342219,257233,227622,186719,160702,122904,106770,132916,200201,219753,241016,247698,217914
Bulgaria,BGR,Unemployment with primary education,SL.UEM.PRIM.ZS.V,Unemployment,Primary,All,211214,252744,221489,165551,141834,122323,115830,93015,77705,79942,104649,113858,116014,120043,128619
Bulgaria,BGR,"Unemployment with primary education, female",SL.UEM.PRIM.FE.ZS.V,Unemployment,Primary,Female,92872,104366,91458,66483,60130,51232,53894,46822,36225,34849,43901,48524,46987,46924,51152
Bulgaria,BGR,"Unemployment with primary education, male",SL.UEM.PRIM.MA.ZS.V,Unemployment,Primary,Male,118871,148900,130385,99806,82399,70767,60906,45843,42067,45324,61261,65047,68690,73319,77578
Bulgaria,BGR,Unemployment with secondary education,SL.UEM.SECO.ZS.V,Unemployment,Secondary,All,297367,373530,334405,231955,209881,173150,156840,120387,94928,126336,196434,210373,235318,241377,199738
Bulgaria,BGR,"Unemployment with secondary education, female",SL.UEM.SECO.FE.ZS.V,Unemployment,Secondary,Female,130221,162761,147956,100341,89278,76167,72458,55454,42673,53012,80187,79360,87911,96047,81714
Bulgaria,BGR,"Unemployment with secondary education, male",SL.UEM.SECO.MA.ZS.V,Unemployment,Secondary,Male,167836,212046,187536,132475,121095,96534,83083,64525,53065,73769,117518,130534,146056,145894,118110
Bulgaria,BGR,Unemployment with tertiary education,SL.UEM.TERT.ZS.V,Unemployment,Tertiary,All,46689,71913,64523,53493,46731,34901,33497,20832,20227,25695,38591,44864,51836,60237,49934
Bulgaria,BGR,"Unemployment with tertiary education, female",SL.UEM.TERT.FE.ZS.V,Unemployment,Tertiary,Female,25895,43175,40275,33652,29148,19797,20360,12297,12802,15418,22548,25827,29135,35193,27989
Bulgaria,BGR,"Unemployment with tertiary education, male",SL.UEM.TERT.MA.ZS.V,Unemployment,Tertiary,Male,20941,28844,24298,19550,17299,14751,12856,8357,7367,10102,16016,18899,22656,25018,22227
Croatia,HRV,"Employment, total",SL.EM.TOTL.NE.ZS.V,Employment,All,All,1649539,1642099,1644243,1679511,1725839,1747026,1765574,1795588,1817558,1790057,1719664,1610484,1557973,1531805,1525909
Croatia,HRV,"Employment, female",SL.EM.TOTL.FE.NE.ZS.V,Employment,All,Female,719080,712322,717322,735593,762463,783300,795311,797167,808499,808541,783842,730679,711574,702916,688744
Croatia,HRV,"Employment, male",SL.EM.TOTL.MA.NE.ZS.V,Employment,All,Male,930099,929961,928156,944209,964368,963724,969663,998969,1009110,981792,935874,880825,845551,829084,837754
Croatia,HRV,Employment with primary education,SL.EM.PRIM.ZS.V,Employment,Primary,All,1336127,1328458,1320327,1296583,1349606,1425574,1400101,1407741,1452229,1458896,1396367,1278724,1307139,1286716,1257349
Croatia,HRV,"Employment with primary education, female",SL.EM.PRIM.FE.ZS.V,Employment,Primary,Female,586769,575556,562380,572292,595483,638390,641816,629762,650842,684026,658428,582351,595588,593261,562015
Croatia,HRV,"Employment with primary education, male",SL.EM.PRIM.MA.ZS.V,Employment,Primary,Male,747799,753269,764800,723264,756064,786398,754398,777198,799215,765798,735597,697613,711109,693114,697849
Croatia,HRV,Employment with secondary education,SL.EM.SECO.ZS.V,Employment,Secondary,All,542698,471282,504783,547521,553994,476938,545563,615887,557990,562078,588125,557227,472066,477923,474558
Croatia,HRV,"Employment with secondary education, female",SL.EM.SECO.FE.ZS.V,Employment,Secondary,Female,243768,210135,237433,244953,245513,220107,248137,288575,253869,249031,269642,279119,243358,249535,240372
Croatia,HRV,"Employment with secondary education, male",SL.EM.SECO.MA.ZS.V,Employment,Secondary,Male,297632,255739,260812,301203,308598,256350,295747,321668,301724,316137,319133,279221,227453,229656,230382
Croatia,HRV,Employment with tertiary education,SL.EM.TERT.ZS.V,Employment,Tertiary,All,1426851,1492668,1468309,1521637,1549803,1593288,1594314,1585505,1624897,1559139,1461714,1391458,1339857,1305098,1321437
Croatia,HRV,"Employment with tertiary education, female",SL.EM.TERT.FE.ZS.V,Employment,Tertiary,Female,790584,835105,826059,840346,866966,874097,857182,866106,890035,831578,768353,730204,695889,669070,702038
Croatia,HRV,"Employment with tertiary education, male",SL.EM.TERT.MA.ZS.V,Employment,Tertiary,Male,632071,656048,643437,678217,683167,719070,734072,717451,734117,726878,686646,652496,634013,624189,614360
Croatia,HRV,"Labor force, total",SL.TLF.TOTL.IN.V,Labor force,All,All,1961402,1950236,1936682,1950652,1999813,1998886,1986023,1992884,1986402,1971428,1945321,1866146,1852524,1852243,1845114
Croatia,HRV,"Labor force, female",SL.TLF.TOTL.FE.ZS.V,Labor force,All,Female,868454,867627,867378,871556,900192,908701,911009,898723,901337,905421,893777,846673,847112,844851,843016
Croatia,HRV,"Labor force, male",SL.TLF.TOTL.MA.ZS.V,Labor force,All,Male,1092948,1082609,1069304,1079096,1099621,1090185,1075014,1094161,1085065,1066007,1051544,1019473,1005412,1007392,1002098
Croatia,HRV,Labor force with primary education,SL.TLF.PRIM.ZS.V,Labor force,Primary,All,0,419301,410577,429143,435959,409772,375358,350748,347620,341057,332650,307914,263058,244496,219569
Croatia,HRV,"Labor force with primary education, female",SL.TLF.PRIM.FE.ZS.V,Labor force,Primary,Female,0,189143,192558,207430,211545,212636,189490,176150,171254,167503,165349,154094,130455,114055,107906
Croatia,HRV,"Labor force with primary education, male",SL.TLF.PRIM.MA.ZS.V,Labor force,Primary,Male,0,229513,217069,221215,223223,198414,184902,175066,175781,173759,167195,153940,131709,129954,110231
Croatia,HRV,Labor force with secondary education,SL.TLF.SECO.ZS.V,Labor force,Secondary,All,0,1179893,1181376,1156737,1203887,1231314,1245236,1281424,1279243,1249885,1202208,1177538,1193025,1179879,1179028
Croatia,HRV,"Labor force with secondary education, female",SL.TLF.SECO.FE.ZS.V,Labor force,Secondary,Female,0,498886,497875,474998,502307,509781,523830,535639,536296,525144,503196,482604,498102,495928,489792
Croatia,HRV,"Labor force with secondary education, male",SL.TLF.SECO.MA.ZS.V,Labor force,Secondary,Male,0,680961,684355,681989,701558,720612,722409,746218,743270,724885,699277,693242,694740,684019,690446
Croatia,HRV,Labor force with tertiary education,SL.TLF.TERT.ZS.V,Labor force,Tertiary,All,0,337391,327299,345265,353967,351804,359470,354733,355566,378514,406572,376962,389030,420459,446518
Croatia,HRV,"Labor force with tertiary education, female",SL.TLF.TERT.FE.ZS.V,Labor force,Tertiary,Female,0,171790,164802,176926,180939,181740,194045,183339,192886,211869,223444,206588,213472,229799,244475
Croatia,HRV,"Labor force with tertiary education, male",SL.TLF.TERT.MA.ZS.V,Labor force,Tertiary,Male,0,164557,162534,168339,172640,170069,164477,171783,163845,166297,184020,170252,175947,190397,201422
Croatia,HRV,"Unemployment, total",SL.UEM.TOTL.NE.ZS.V,Unemployment,All,All,311863,308137,292439,271141,273974,251860,220449,197296,168844,181371,225657,255662,294551,320438,319205
Croatia,HRV,"Unemployment, female",SL.UEM.TOTL.FE.NE.ZS.V,Unemployment,All,Female,149374,155305,150056,135963,137729,125401,115698,101556,92838,96880,109935,115994,135538,141935,154272
